Year,Mean_Sea_Level_m
1954,1.51
1955,1.49
1956,1.5
1957,1.38
1958,1.36
1959,1.37
1960,1.38
1961,1.35
1962,1.33
1963,1.28
1964,1.38
1965,1.35
1966,1.34
1967,1.33
1968,1.31
1969,1.34
1970,1.37
1971,1.38
1972,1.36
1973,1.39
1974,1.42
1975,1.39
1976,1.4
1977,1.37
1978,1.44
1979,1.39
1980,1.4
1981,1.44
1982,1.37
1983,1.36
1984,1.41
1985,1.36
1986,1.37
1987,1.36
1988,1.41
1989,1.44
1990,1.41
1991,1.41
1992,1.35
1993,1.34
1994,1.43
1995,1.41
1996,1.45
1997,1.44
1998,1.44
1999,1.51
2000,1.48
2001,1.48
2002,1.43
2003,1.43
2004,1.4
2005,1.44
2006,1.42
2007,1.37
2008,1.41
2009,1.49
2010,1.43
2011,1.5
2012,1.48
2013,1.46
2014,1.48
2015,1.45
2016,1.49
2017,1.5
2018,1.45
2019,1.48
2020,1.47
2021,1.45
2022,1.5
2023,1.46
2024,1.49
